D’a,TOTAL UCI,TOTAL NO UCI,TOTAL NIVEL II
01/16/21,95.6521739,34.6153846,25.4054054
01/17/21,100,35.5769231,26.4864865
01/18/21,100,40.0641026,20
01/19/21,100,34.9358974,28.75
01/20/21,100,38.028169,28.75
01/21/21,84,40.5405405,18.8235294
01/22/21,86.9565217,38.4615385,18.8235294
01/23/21,82.6086957,38.4615385,18.8235294
01/24/21,91.3043478,38.4615385,18.8235294
01/25/21,86.9565217,47.4358974,30.8139535
01/26/21,82.6086957,49.6794872,27.9069767
01/27/21,91.3043478,46.1538462,32.5581395
01/28/21,91.3043478,45.1923077,31.1111111
01/29/21,91.3043478,48.0769231,31.25
01/30/21,91.6666667,49.0384615,31.25
01/31/21,91.6666667,44.8717949,31.25
02/01/21,92,44.8630137,38.547486
02/02/21,92,44.8630137,38.547486
02/03/21,87.5,39.5189003,31.2849162
02/04/21,87.5,40.2061856,31.2849162
02/05/21,85.7142857,43.6426117,31.8435754
02/06/21,85.7142857,47.606383,33.5195531
02/07/21,85.7142857,41.4893617,32.4022346
02/08/21,94.2857143,51.6971279,31.8435754
02/09/21,97.1428571,53.2828283,32.4022346
02/10/21,97.1428571,57.7114428,34.6368715
02/11/21,94.2857143,57.2864322,28.5714286
02/12/21,94.2857143,67.8132678,28
02/13/21,94.2857143,61.1386139,33.7142857
02/14/21,94.2857143,60.8910891,32.5714286
